timestamp,source_ip,destination_ip,protocol,length
1712589010.595727,20.189.173.8,192.168.1.79,tcp,161
1712589010.595866,192.168.1.79,20.189.173.8,tcp,66
1712589010.596437,192.168.1.79,20.189.173.8,tcp,101
1712589010.763024,20.189.173.8,192.168.1.79,tcp,66
1712589011.271183,192.168.1.79,20.44.10.123,tcp,78
1712589011.411195,20.44.10.123,192.168.1.79,tcp,74
1712589011.411432,192.168.1.79,20.44.10.123,tcp,66
1712589011.411758,192.168.1.79,20.44.10.123,tcp,583
1712589011.561967,20.44.10.123,192.168.1.79,tcp,165
1712589011.562072,192.168.1.79,20.44.10.123,tcp,66
1712589011.562708,192.168.1.79,20.44.10.123,tcp,503
1712589011.692209,20.44.10.123,192.168.1.79,tcp,66
1712589011.787306,20.44.10.123,192.168.1.79,tcp,1514
1712589011.787318,20.44.10.123,192.168.1.79,tcp,1514
1712589011.78732,20.44.10.123,192.168.1.79,tcp,1514
1712589011.787322,20.44.10.123,192.168.1.79,tcp,255
1712589011.787532,192.168.1.79,20.44.10.123,tcp,66
1712589011.787675,192.168.1.79,20.44.10.123,tcp,66
1712589011.79018,192.168.1.79,20.44.10.123,tcp,1494
1712589011.790186,192.168.1.79,20.44.10.123,tcp,1494
1712589011.790189,192.168.1.79,20.44.10.123,tcp,1494
1712589011.790191,192.168.1.79,20.44.10.123,tcp,1494
1712589011.790192,192.168.1.79,20.44.10.123,tcp,1494
1712589011.790194,192.168.1.79,20.44.10.123,tcp,1494
1712589011.790196,192.168.1.79,20.44.10.123,tcp,1494
1712589011.790199,192.168.1.79,20.44.10.123,tcp,1494
1712589011.7902,192.168.1.79,20.44.10.123,tcp,1494
1712589011.790224,192.168.1.79,20.44.10.123,tcp,345
1712589011.93055,20.44.10.123,192.168.1.79,tcp,66
1712589011.934926,20.44.10.123,192.168.1.79,tcp,66
1712589011.934933,20.44.10.123,192.168.1.79,tcp,66
1712589011.934934,20.44.10.123,192.168.1.79,tcp,66
1712589011.934935,20.44.10.123,192.168.1.79,tcp,66
1712589011.953127,20.44.10.123,192.168.1.79,tcp,169
1712589011.953302,192.168.1.79,20.44.10.123,tcp,66
1712589012.25646,20.44.10.123,192.168.1.79,tcp,530
1712589012.25668,192.168.1.79,20.44.10.123,tcp,66
1712589012.257711,192.168.1.79,20.44.10.123,tcp,90
1712589012.257869,192.168.1.79,20.44.10.123,tcp,66
1712589012.337963,192.168.1.79,192.168.1.1,udp,92
1712589012.338092,192.168.1.79,192.168.1.1,udp,92
1712589012.338464,192.168.1.79,20.189.173.8,tcp,184
1712589012.338583,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338585,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338589,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338591,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338593,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338595,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338598,192.168.1.79,20.189.173.8,tcp,1494
1712589012.3386,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338602,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338605,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338609,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338635,192.168.1.79,20.189.173.8,tcp,764
1712589012.338714,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338718,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338721,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338725,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338728,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338731,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338735,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338737,192.168.1.79,20.189.173.8,tcp,1494
1712589012.33874,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338743,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338746,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338768,192.168.1.79,20.189.173.8,tcp,764
1712589012.338839,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338842,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338845,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338848,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338853,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338856,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338859,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338861,192.168.1.79,20.189.173.8,tcp,1494
1712589012.338863,192.168.1.79,20.189.173.8,tcp,1494
1712589012.33888,192.168.1.79,20.189.173.8,tcp,1002
1712589012.367694,192.168.1.1,192.168.1.79,udp,268
1712589012.367705,192.168.1.1,192.168.1.79,udp,224
1712589012.391141,20.44.10.123,192.168.1.79,tcp,66
1712589012.391148,20.44.10.123,192.168.1.79,tcp,66
1712589012.509772,20.189.173.8,192.168.1.79,tcp,66
1712589012.50978,20.189.173.8,192.168.1.79,tcp,66
1712589012.514501,20.189.173.8,192.168.1.79,tcp,66
1712589012.514508,20.189.173.8,192.168.1.79,tcp,66
1712589012.514509,20.189.173.8,192.168.1.79,tcp,66
1712589012.51451,20.189.173.8,192.168.1.79,tcp,66
1712589012.514511,20.189.173.8,192.168.1.79,tcp,101
1712589012.514512,20.189.173.8,192.168.1.79,tcp,66
1712589012.514513,20.189.173.8,192.168.1.79,tcp,66
1712589012.514514,20.189.173.8,192.168.1.79,tcp,66
1712589012.514515,20.189.173.8,192.168.1.79,tcp,66
